exposure_to_patient_isolation,enter_area_isolation,appearance_of_symptoms_isolation,risk_groups_isolation,full_quarantine,partial_quarantine,unnecessary_business,educational_institutions,religious_institutions,distance_saving_instructions,congregation_restriction,prohibition_entering_country,public_transport_restriction,limit_hospital_visits,limit_retirement_homes_visits,disinfecting_public_spaces,police_army_enforcement,fines_and_incarceration,encouragement_using_masks,encouragement_using_gloves,encouragement_using_hand_sanitizers,wide_temperature_tests,lockdown_level,country,province,start_date
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Derby,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Derbyshire,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Devon,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Doncaster,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Dorset,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Dudley,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Dumfries and Galloway,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Ealing,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,East Riding of Yorkshire,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,East Sussex,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Enfield,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Essex,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Fife,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Flintshire County Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Forth Valley,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Gateshead,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Gloucestershire,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Grampian,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Greater Glasgow and Clyde,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Greenwich,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Gwynedd Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Hackney and City of London,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Halton,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Hammersmith and Fulham,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Hampshire,2020-03-24 00:00:00
