City_Name,Population,Infected,Date
Tel Aviv - Yafo,450192,64,03/20/2020
Rishon Lezion,241010,17,03/20/2020
Ashdod,225073,16,03/20/2020
Kiryat Ye'arim,5713,15,03/20/2020
Bnei Brak,195298,13,03/20/2020
Haifa,272584,10,03/20/2020
Ashkelon,139032,8,03/20/2020
Be'er Sheva,196755,6,03/20/2020
El'ad,46760,1,03/20/2020
Jerusalem,914559,56,03/19/2020
Tel Aviv - Yafo,450192,52,03/19/2020
Kiryat Ye'arim,5713,15,03/19/2020
Ashdod,225073,14,03/19/2020
Rishon Lezion,241010,14,03/19/2020
Bnei Brak,195298,9,03/19/2020
Ashkelon,139032,7,03/19/2020
Be'er Sheva,196755,6,03/19/2020
Haifa,272584,6,03/19/2020
El'ad,46760,1,03/19/2020
Tel Aviv - Yafo,450192,42,03/18/2020
Jerusalem,914559,35,03/18/2020
Kiryat Ye'arim,5713,15,03/18/2020
Ashdod,225073,12,03/18/2020
Rishon Lezion,241010,11,03/18/2020
Ashkelon,139032,7,03/18/2020
Be'er Sheva,196755,6,03/18/2020
Haifa,272584,6,03/18/2020
Bnei Brak,195298,2,03/18/2020
El'ad,46760,1,03/18/2020
Tel Aviv - Yafo,450192,33,03/17/2020
Jerusalem,914559,21,03/17/2020
Kiryat Ye'arim,5713,13,03/17/2020
Rishon Lezion,241010,9,03/17/2020
Ashdod,225073,6,03/17/2020
Haifa,272584,6,03/17/2020
Ashkelon,139032,5,03/17/2020
Be'er Sheva,196755,4,03/17/2020
El'ad,46760,1,03/17/2020
Bnei Brak,195298,0,03/17/2020
Tel Aviv - Yafo,450192,28,03/16/2020
Jerusalem,914559,13,03/16/2020
Kiryat Ye'arim,5713,8,03/16/2020
Rishon Lezion,241010,8,03/16/2020
Ashkelon,139032,5,03/16/2020
Ashdod,225073,4,03/16/2020
Be'er Sheva,196755,4,03/16/2020
Haifa,272584,3,03/16/2020
El'ad,46760,1,03/16/2020
Bnei Brak,195298,0,03/16/2020
Tel Aviv - Yafo,450192,25,03/15/2020
Jerusalem,914559,9,03/15/2020
Kiryat Ye'arim,5713,7,03/15/2020
Rishon Lezion,241010,7,03/15/2020
Be'er Sheva,196755,4,03/15/2020
Ashdod,225073,3,03/15/2020
Ashkelon,139032,3,03/15/2020
Haifa,272584,2,03/15/2020
El'ad,46760,1,03/15/2020
Bnei Brak,195298,0,03/15/2020
Tel Aviv - Yafo,450192,18,03/14/2020
Jerusalem,914559,8,03/14/2020
Rishon Lezion,241010,7,03/14/2020
Be'er Sheva,196755,4,03/14/2020
Ashdod,225073,3,03/14/2020
El'ad,46760,1,03/14/2020
Haifa,272584,1,03/14/2020
Ashkelon,139032,0,03/14/2020
Bnei Brak,195298,0,03/14/2020
Kiryat Ye'arim,5713,0,03/14/2020
Tel Aviv - Yafo,450192,13,03/13/2020
Rishon Lezion,241010,6,03/13/2020
Be'er Sheva,196755,4,03/13/2020
Jerusalem,914559,4,03/13/2020
Ashdod,225073,3,03/13/2020
Haifa,272584,1,03/13/2020
Ashkelon,139032,0,03/13/2020
Bnei Brak,195298,0,03/13/2020
El'ad,46760,0,03/13/2020
Kiryat Ye'arim,5713,0,03/13/2020
Tel Aviv - Yafo,450192,13,03/12/2020
Jerusalem,914559,4,03/12/2020
Rishon Lezion,241010,4,03/12/2020
Ashdod,225073,3,03/12/2020
Be'er Sheva,196755,3,03/12/2020
Haifa,272584,1,03/12/2020
Ashkelon,139032,0,03/12/2020
Bnei Brak,195298,0,03/12/2020
El'ad,46760,0,03/12/2020
Kiryat Ye'arim,5713,0,03/12/2020
Tel Aviv - Yafo,450192,8,03/11/2020
Jerusalem,914559,4,03/11/2020
Ashdod,225073,3,03/11/2020
Rishon Lezion,241010,3,03/11/2020
Be'er Sheva,196755,2,03/11/2020
Haifa,272584,1,03/11/2020
Ashkelon,139032,0,03/11/2020
Bnei Brak,195298,0,03/11/2020
El'ad,46760,0,03/11/2020
Kiryat Ye'arim,5713,0,03/11/2020
Jerusalem,914559,1132,2020-04-03
Bnei Brak,195298,1061,2020-04-03
Tel Aviv - Yafo,450192,337,2020-04-03
Ashkelon,139032,170,2020-04-03
Petah Tikva,242478,138,2020-04-03
Rishon Lezion,241010,132,2020-04-03
Netanya,213971,126,2020-04-03
El'ad,46760,120,2020-04-03
Beit Shemesh,120812,118,2020-04-03
Be'er Sheva,196755,112,2020-04-03
Ashdod,225073,111,2020-04-03
Ramat Gan,143370,106,2020-04-03
Holon,185741,104,2020-04-03
Bat Yam,130523,102,2020-04-03
Haifa,272584,96,2020-04-03
Modi'in Illit,73808,91,2020-04-03
Modi'in-Maccabim-Re'ut,87108,91,2020-04-03
Tiberias,44353,83,2020-04-03
Migdal HaEmek,26058,82,2020-04-03
Or Yehuda,34843,74,2020-04-03
Ra'anana,73979,73,2020-04-03
Beitar Illit,59240,70,2020-04-03
Herzliya,90900,69,2020-04-03
Rehovot,137178,66,2020-04-03
Efrat,10676,61,2020-04-03
Yehud-Monosson,29104,59,2020-04-03
Kfar Saba,97412,50,2020-04-03
Lod,75038,44,2020-04-03
Afula,50886,41,2020-04-03
Kfar Habad,6724,39,2020-04-03
Kiryat Ono,37112,38,2020-04-03
Zefat,35671,37,2020-04-03
Kiryat Ye'arim,5713,36,2020-04-03
Ramla,75246,36,2020-04-03
Kiryat Malakhi,23691,35,2020-04-03
Kokhav Ya'akov,8602,32,2020-04-03
Ramat HaSharon,44896,32,2020-04-03
Hod HaSharon,59171,29,2020-04-03
Givatim,55123,27,2020-04-03
Ma'ale Adumim,37469,27,2020-04-03
Nahariya,58750,26,2020-04-03
Kiryat Gat,55400,26,2020-04-03
Shoham,20041,25,2020-04-03
Givat Shumuel,24538,24,2020-04-03
Sderot,25891,24,2020-04-03
Ganei Tiqva,18930,23,2020-04-03
Zikhron Ya'akov,22341,22,2020-04-03
Hadera,94104,22,2020-04-03
Even Yehuda,13263,21,2020-04-03
Gan Yavne,22410,21,2020-04-03
Yavne,45555,21,2020-04-03
Carmiel,46596,21,2020-04-03
Rosh Haayin,53965,21,2020-04-03
Azur,11819,20,2020-04-03
Netivot,36511,20,2020-04-03
Rechasim,11841,20,2020-04-03
Gedera,24633,19,2020-04-03
Dimona,35377,19,2020-04-03
Kiryat Yam,39556,19,2020-04-03
Nof Ha'Galil,43811,18,2020-04-03
Ofakim,30185,17,2020-04-03
Be'er Ya'akov,24216,16,2020-04-03
Kiryat Ata,57108,16,2020-04-03
Giv'at Ze'ev,18510,14,2020-04-03
Tamra,33792,14,2020-04-03
Umm el-Fahm,55324,13,2020-04-03
Tirat Carmel,22243,13,2020-04-03
Tel Mond,12593,13,2020-04-03
Kfar Yona,21301,12,2020-04-03
Acre,50872,12,2020-04-03
Arad,26763,12,2020-04-03
Kadima Zoran,20831,11,2020-04-03
Kiryat Arba,7364,11,2020-04-03
Eilat,56568,10,2020-04-03
Yokneam,22711,10,2020-04-03
Omer,8016,10,2020-04-03
Mevaseret Zion,23093,9,2020-04-03
Ma'alot-Tarshiha,22261,9,2020-04-03
Kiryat Shmona,22152,9,2020-04-03
Taibe,43144,8,2020-04-03
Kokhav Ya'ir,9143,8,2020-04-03
Ness Ziona,45714,8,2020-04-03
Katzrin,7373,8,2020-04-03
Daburiyya,10414,7,2020-04-03
Maghar,22364,7,2020-04-03
Nazareth,78252,7,2020-04-03
Kiryat Bialik,39262,7,2020-04-03
Shibli–Umm al-Ghanam,6367,7,2020-04-03
Jatt,11910,6,2020-04-03
Deir Hanna,10567,6,2020-04-03
Kuseife,16957,6,2020-04-03
Lehavim,6178,6,2020-04-03
Mazkeret Batya,14949,6,2020-04-03
Sakhnin,32089,6,2020-04-03
Pardes Hanna-Karkur,40622,6,2020-04-03
Kiryat Motzkin,42870,6,2020-04-03
Karnei Shomron,7906,6,2020-04-03
Alfei Menashe,7771,5,2020-04-03
Bir al-Maksur,9866,5,2020-04-03
Nesher,22032,5,2020-04-03
Shlomi,6478,5,2020-04-03
